"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Reproducciones,Comentarios,"Veces que se guardó",Seguimientos
17978539457771043,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¿Tienes planes de vivienda y no sabes qué debes hacer? ¡Acá te enseñamos como puedes ser parte de nuestros proyectos de Urbanización y todo lo que contamos para ti! 

¡Agenda tu cita ahora mismo! o visítanos para tener el placer de poder atenderte.",0,"10/21/2024 14:12",https://www.instagram.com/p/DBZp12_PM5U/,"Secuencia de Instagram",,Total,675,471,21,3,,0,0,1
17880965667070948,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡En Tuluá estamos transformando nuestros espacios! 🌿✨

Gracias al trabajo articulado entre la Secretaría de Hábitat e Infraestructura con Infituluá, estamos realizando trabajos de adecuación, pintura, renovación de la cancha, embellecimiento de zonas verdes del barrio San Pedro Claver.

Queremos ofrecerle a nuestras familias tulueñas un entorno más seguro, bonito y digno. 💪🏼🏡 Juntos estamos haciendo de Tuluá un mejor lugar #ParaSerFelices 🙌🏼",74,"10/04/2024 06:35",https://www.instagram.com/reel/DAtD2yRulpr/,"Reel de Instagram",,Total,4663,3900,167,27,,7,2,
17882699106150041,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Continuamos con C❤️razones de Infi! Conociendo las historias de vida y los beneficios sobre las acciones realizadas por la Administración Municipal junto a INFITULUÁ.

¡Gracias por volver a confiar en nosotros! Porque somos efectivos en nuestras obras y seguimos construyendo una Tuluá #ParaSerFelices",40,"11/01/2024 14:30",https://www.instagram.com/p/DB2Aki4NxKq/,"Reel de Instagram",,Total,428,322,20,1,,0,0,
18061024549813258,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Inició pavimentación de la carrera 28! 🏗

En un trabajo articulado entre la Administración Municipal a través de la Secretaría de Hábitat e Infraestructura en conjunto con Infituluá, se está realizando la pavimentación y mejoramiento de la vía de la Carrera 28 entre calles 15 y 20 del barrio Tomás Uribe, al costado del río Tuluá. 

¡Una vía que mejorará la calidad de vida de los tulueños!

Juntos estamos haciendo de Tuluá un mejor lugar #ParaSerFelices",61,"10/30/2024 08:33",https://www.instagram.com/reel/DBwNnL2p3ob/,"Reel de Instagram",,Total,2959,2518,69,10,3840,5,1,1
18003218015509876,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","Hoy en C❤razones de Infi, compartimos los testimonios  y experiencias de los tulueños sobre los avances  de obra significativos en nuestro municipio.

Día a día seguimos trabajando construyendo una Tuluá #ParaSerFelices",51,"10/29/2024 12:45",https://www.instagram.com/reel/DBuGHpJPtMN/,"Reel de Instagram",,Total,2269,1860,45,8,2874,0,0,
17869085433230310,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","Participamos en el día de halloween ""Mundo de la Fantasía""💜, una aventura #ParaSerFelices, organizada por @alcaldiadetulua, donde compartimos con familias enteras y niños que nos recordaron la magia de las sonrisas y la alegría. 

Un mundo mágico en donde nos convertimos en los personajes de Ralph el demoledor, una película que nos enseñar a ser nosotros mismos y encontrar nuestro lugar en el mundo.

Que gran oportunidad para compartir con los habitantes del corazón del Valle del Cauca, nuestra bella Tuluá.",28,"10/27/2024 12:12",https://www.instagram.com/reel/DBo4SPXJ9Nj/,"Reel de Instagram",,Total,614,493,25,3,754,1,0,2
18289555222231429,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","Cada día nos esforzamos por crecer junto a los tulueños y cumplir todos los sueños que tengan presentes, desde el empresario hasta el comerciante.

¡Juntos, construímos una mejor Tuluá! #ParaSerFelices",67,"10/25/2024 13:01",https://www.instagram.com/reel/DBj0xUWqBy6/,"Reel de Instagram",,Total,378,281,29,1,541,0,0,
