"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)"
122168013392249234,61557477032777,Infitulua,"¿Tienes planes de vivienda y no sabes qué debes hacer? ¡Acá te enseñamos como puedes ser parte de nuestros proyectos de Urbanización y todo lo que contamos para ti! 

¡Agenda tu cita ahora mismo! o visítanos para tener el placer de poder atenderte.",,0,"10/21/2024 14:12",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0hRsN3rE372vmqKwHbYQNpTemZqvtxgxaVCFXKVMPM3hi8y9qGSLq3WfNeuaZQjhUl&id=61557477032777,0,0,Fotos,,,,,Total,128,88,4,2,2,0,7,6,1,,,,,,
122165703752249234,61557477032777,Infitulua,,,0,"10/08/2024 15:53",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0NDP3Q6SAmbPKknkFH584b7LaRAQ1ewBGbRqjx3rUzmVvdxW4sCB1uED4KsXh55DWl&id=61557477032777,0,1,Fotos,,,,,Total,250,181,6,4,0,2,9,8,1,,,,,,
122169886664249234,61557477032777,Infitulua,"¡Continuamos con C❤️razones de Infi! Conociendo las historias de vida y los beneficios sobre las acciones realizadas por la Administración Municipal junto a INFITULUÁ.

¡Gracias por volver a confiar en nosotros! Porque somos efectivos en nuestras obras y seguimos construyendo una Tuluá #ParaSerFelices","¡Continuamos con C❤️razones de Infi! Conociendo las historias de vida y los beneficios sobre las acciones realizadas por la Administración Municipal junto a INFITULUÁ.

¡Gracias por volver a confiar en nosotros! Porque somos efectivos en nuestras obras y seguimos construyendo una Tuluá #ParaSerFelices",40,"11/01/2024 14:30",N/A,https://www.facebook.com/61557477032777/videos/1223821928738058/,0,0,Videos,,,,,Total,59,53,2,2,0,0,2,,2,75,700.991,10.462,0,0,0
122169358742249234,61557477032777,Infitulua,"Hoy en C❤razones de Infi, compartimos los testimonios  y experiencias de los tulueños sobre los avances  de obra significativos en nuestro municipio.

Día a día seguimos trabajando construyendo una Tuluá #ParaSerFelices","Hoy en C❤razones de Infi, compartimos los testimonios  y experiencias de los tulueños sobre los avances  de obra significativos en nuestro municipio.

Día a día seguimos trabajando construyendo una Tuluá #ParaSerFelices",52,"10/29/2024 12:44",uploaded,https://www.facebook.com/reel/1492034128121713/,0,0,Reels,,,,,Total,71,52,0,0,0,0,0,,,80,713.726,10.196,0,0,
122168713706249234,61557477032777,Infitulua,"Cada día nos esforzamos por crecer junto a los tulueños y cumplir todos los sueños que tengan presentes, desde el empresario hasta el comerciante.

¡Juntos, construímos una mejor Tuluá! #ParaSerFelices","Cada día nos esforzamos por crecer junto a los tulueños y cumplir todos los sueños que tengan presentes, desde el empresario hasta el comerciante.

¡Juntos, construímos una mejor Tuluá! #ParaSerFelices",67,"10/25/2024 13:00",mixed,https://www.facebook.com/reel/982573910552966/,0,0,Reels,,,,,Total,102,74,7,5,0,2,0,,,169,2730.606,19.787,0,0,
