ID_TIPO_DOCUMENTO,ID_SEXO_BIOLOGICO,FECHA_NACIMIENTO,ID_PAIS,ID_MUNICIPIO,PERIODO
TI,M,01/22/2003 12:00:00 AM,170,76111,20202
CC,F,09/06/2002 12:00:00 AM,170,76111,20202
CC,F,12/02/2002 12:00:00 AM,170,76111,20202
CC,F,03/22/2003 12:00:00 AM,170,76111,20202
CC,M,03/28/2003 12:00:00 AM,170,76111,20202
CC,M,04/04/2003 12:00:00 AM,170,76111,20202
CC,M,06/25/2003 12:00:00 AM,170,76111,20202
TI,M,11/08/2003 12:00:00 AM,170,76111,20202
TI,M,11/20/2003 12:00:00 AM,170,76111,20202
TI,F,10/07/2003 12:00:00 AM,170,76111,20202
TI,F,11/20/2003 12:00:00 AM,170,76111,20202
TI,F,11/13/2003 12:00:00 AM,170,76111,20202
TI,F,09/08/2003 12:00:00 AM,170,76111,20202
TI,F,07/09/2003 12:00:00 AM,170,76111,20202
TI,F,09/29/2003 12:00:00 AM,170,76111,20202
TI,M,12/16/2003 12:00:00 AM,170,76111,20202
CC,M,07/14/2001 12:00:00 AM,170,76111,20202
CC,M,01/03/2001 12:00:00 AM,170,76111,20202
CC,F,10/01/2002 12:00:00 AM,170,76113,20202
CC,F,11/01/2002 12:00:00 AM,170,76400,20202
TI,F,10/23/2003 12:00:00 AM,170,76834,20202
CC,M,06/28/2002 12:00:00 AM,170,76622,20202
CC,M,08/28/1999 12:00:00 AM,170,76147,20202
TI,M,09/19/2003 12:00:00 AM,170,76147,20202
CC,M,03/01/2001 12:00:00 AM,170,76147,20202
TI,M,02/10/2003 12:00:00 AM,170,76520,20202
TI,M,07/18/2003 12:00:00 AM,170,76520,20202
CC,F,09/19/2002 12:00:00 AM,170,76520,20202
CC,M,05/18/2000 12:00:00 AM,170,76670,20202
CC,F,09/18/2000 12:00:00 AM,170,76834,20202
CC,F,11/28/2002 12:00:00 AM,170,76670,20202
CC,M,05/20/2003 12:00:00 AM,170,76670,20202
TI,F,08/20/2003 12:00:00 AM,170,76100,20202
TI,M,08/08/2003 12:00:00 AM,170,76100,20202
TI,M,08/21/2003 12:00:00 AM,170,76100,20202
TI,F,08/27/2003 12:00:00 AM,170,76147,20202
CC,M,03/07/2003 12:00:00 AM,170,76520,20202
TI,M,08/20/2003 12:00:00 AM,170,76111,20202
TI,F,10/16/2003 12:00:00 AM,170,76001,20202
CC,F,12/19/2001 12:00:00 AM,170,76318,20202
TI,M,08/17/2003 12:00:00 AM,170,76036,20202
CC,M,06/13/2003 12:00:00 AM,170,76111,20202
TI,M,08/03/2003 12:00:00 AM,170,76111,20202
CC,M,11/11/2001 12:00:00 AM,170,76111,20202
CC,F,06/23/2002 12:00:00 AM,170,76122,20202
CC,M,03/14/2002 12:00:00 AM,170,76823,20202
CC,M,10/14/2001 12:00:00 AM,170,76109,20202
CC,M,04/05/2003 12:00:00 AM,170,76109,20202
TI,F,09/06/2003 12:00:00 AM,170,76109,20202
CC,M,07/30/2001 12:00:00 AM,170,76834,20202
CC,F,11/04/2000 12:00:00 AM,170,76834,20202
TI,M,12/09/2003 12:00:00 AM,170,76834,20202
CC,M,03/30/2003 12:00:00 AM,170,76834,20202
TI,F,07/23/2003 12:00:00 AM,170,76834,20202
TI,F,11/17/2003 12:00:00 AM,170,76834,20202
CC,F,06/04/2003 12:00:00 AM,170,76834,20202
CC,M,12/11/2001 12:00:00 AM,170,76834,20202
CC,M,09/27/2001 12:00:00 AM,170,76834,20202
CC,F,10/15/2001 12:00:00 AM,170,76834,20202
CC,M,02/19/2002 12:00:00 AM,170,76834,20202
CC,M,05/11/2002 12:00:00 AM,170,76834,20202
CC,M,04/21/2003 12:00:00 AM,170,76834,20202
CC,F,05/01/2003 12:00:00 AM,170,76834,20202
TI,M,05/09/2003 12:00:00 AM,170,76834,20202
