Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-05-11 00:35:48,phone,1969,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Muy buenos,01:11
2024-05-10 23:46:46,phone,1978,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,01:03
2024-05-10 23:36:25,phone,1987,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",No he utilizado los servicios,00:50
2024-05-10 22:59:17,phone,1968,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:45
2024-05-10 19:13:18,phone,1979,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",Buenos,00:50
2024-05-10 19:04:03,phone,1973,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,03:16
2024-05-10 19:00:59,phone,2001,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Malos,00:30
2024-05-10 14:20:29,phone,2002,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,00:46
2024-05-10 11:30:05,phone,2005,"No, no conozco esta institución","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Buenos,00:53
2024-05-10 09:57:01,phone,3 de abril  1999,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Muy buenos,01:17
2024-05-09 23:48:47,phone,1969,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,00:55
2024-05-09 18:44:53,phone,1983,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,01:45
2024-05-09 18:38:29,phone,1971,"Más o menos, pero no lo sé todo.",Ninguno,No he utilizado los servicios,01:05
2024-05-09 14:49:22,phone,1971,"Más o menos, pero no lo sé todo.","Cliente del Bicentenario, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:38
2024-05-08 03:05:40,phone,1992,"Sé que existe, pero no sé qué hace",Cliente nueva Terminal de Transportes,No he utilizado los servicios,00:56
2024-05-07 23:11:50,phone,1980,"Si, lo sé muy bien",Cliente de Urbanización Gualanday,Regulares,01:38
2024-05-07 21:36:56,phone,EXCELENTE SIGAMOS ASI PARA ADELANTE NO UN PASO ATRAS,,Ninguno,No he utilizado los servicios,02:29
2024-05-07 18:42:28,phone,1986,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:42
2024-05-07 17:02:35,phone,1993,"Más o menos, pero no lo sé todo.",Ninguno,Regulares,00:51
2024-05-07 15:41:39,phone,1962,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,00:50
2024-05-07 14:50:05,phone,31julio1986,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Muy buenos,00:47
2024-05-07 14:09:41,phone,1992,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:35
2024-05-07 07:46:36,phone,1988,"Sé que existe, pero no sé qué hace",Ninguno,Regulares,00:51
2024-05-07 01:13:04,phone,1990,"Más o menos, pero no lo sé todo.",Cliente de Urbanización Terranova,Regulares,00:28
2024-05-06 18:15:27,phone,1997,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,00:39
2024-05-06 17:39:27,phone,2001,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Muy buenos,00:36
2024-05-06 09:45:36,phone,1987,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,00:42
2024-05-05 18:08:12,phone,1963,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:54
2024-05-05 12:22:52,phone,1989,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Regulares,00:43
2024-05-05 10:41:25,phone,13/05/2011,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Regulares,01:15
2024-05-05 04:56:07,phone,1997,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",No he utilizado los servicios,00:36
2024-05-05 03:00:59,phone,1986,"Más o menos, pero no lo sé todo.",Cliente de La Galeria,No he utilizado los servicios,00:35
2024-05-04 23:55:16,phone,1982,"No, no conozco esta institución",Ninguno,No he utilizado los servicios,00:37
2024-05-04 19:47:18,phone,1985,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",No he utilizado los servicios,00:46
2024-05-04 19:00:51,phone,160889,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Muy buenos,00:46
2024-05-04 18:53:02,phone,1994,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,00:49
2024-05-04 18:39:39,phone,1993,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza",Muy buenos,00:34
2024-05-04 17:57:59,phone,1980,"Más o menos, pero no lo sé todo.","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:51
2024-05-04 11:43:00,phone,1992,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Buenos,00:35
2024-05-04 09:53:06,phone,1996,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Regulares,00:42
2024-05-04 03:12:07,phone,1989,"Más o menos, pero no lo sé todo.",Ninguno,No he utilizado los servicios,01:00
2024-05-03 21:52:43,phone,1977,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Muy buenos,05:16
2024-05-03 21:37:26,phone,1979,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,01:09
2024-05-03 20:56:14,phone,1997,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Urbanización Terranova, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,00:46
2024-05-03 20:53:08,phone,2006,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,01:49
2024-05-03 18:21:13,phone,10 octu,"Más o menos, pero no lo sé todo.",Ninguno,No he utilizado los servicios,00:43
2024-05-03 17:38:29,phone,1984,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",No he utilizado los servicios,00:57
2024-05-03 17:01:29,phone,1996,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Regulares,01:02
2024-05-03 16:03:16,phone,1991,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,01:07
2024-05-03 14:36:26,phone,1982,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,01:12
2024-05-03 10:39:04,phone,4 septiembre/67,"Más o menos, pero no lo sé todo.",Cliente de La Galeria,Malos,01:29
2024-05-03 07:45:20,phone,1969,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,No he utilizado los servicios,01:07
