Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-06-05 13:39:15,teléfono,1976,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,01:04
2024-06-05 15:34:12,teléfono,1980,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:36
2024-06-06 07:11:09,teléfono,1979,"Si, lo sé muy bien",Ninguno,Regulares,00:48
2024-06-06 07:57:30,teléfono,1964,"Si, lo sé muy bien",Cliente de Urbanización Gualanday,Malos,00:30
2024-06-06 19:46:30,teléfono,1977,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:57
2024-06-07 15:41:44,teléfono,1982,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,00:55
2024-06-07 18:00:55,teléfono,1975,"Sé que existe, pero no sé qué hace",Cliente de La Galeria,No he utilizado los servicios,02:29
2024-06-07 18:03:56,teléfono,1975,"Sé que existe, pero no sé qué hace","Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,00:35
2024-06-07 18:08:41,teléfono,22 - 04 - 59,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,01:30
2024-06-07 21:51:38,teléfono,6.  7   1959,"Más o menos, pero no lo sé todo.",Cliente del Bicentenario,No he utilizado los servicios,04:03
2024-06-08 04:39:10,teléfono,1989,"Si, lo sé muy bien",Ninguno,Muy buenos,00:32
2024-06-09 00:50:01,teléfono,1981,"Si, lo sé muy bien",Cliente de Urbanización Gualanday,No he utilizado los servicios,00:57
2024-06-09 07:19:26,teléfono,1982,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,00:42
2024-06-09 13:04:27,teléfono,1977,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:41
2024-06-09 14:43:06,teléfono,22 04 59,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,00:52
2024-06-09 18:15:07,teléfono,1982,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,00:30
2024-06-09 20:20:30,teléfono,2008,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,01:34
2024-06-10 00:42:22,teléfono,Julio 27 de 1969,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Regulares,01:11
2024-06-10 04:07:54,teléfono,1995,"Si, lo sé muy bien",Cliente de La Galeria,Pésimos,00:36
2024-06-10 12:51:00,teléfono,22 04 59,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,00:36
2024-06-11 17:44:49,teléfono,1962,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:42
2024-06-11 19:20:16,teléfono,30/09/1970,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,01:04
2024-06-11 20:36:38,teléfono,1969,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Buenos,01:22
2024-06-11 20:52:35,teléfono,1960,"Si, lo sé muy bien",Ninguno,Malos,02:15
2024-06-13 10:53:22,computer,1950,,Ninguno,,01:07
2024-06-13 14:33:11,teléfono,1997,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,00:36
2024-06-13 14:37:27,computer,1997,,"Cliente nueva Terminal de Transportes, Cliente del Bicentenario",,02:26
2024-06-13 14:40:44,computer,1997,,"Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza",,01:38
2024-06-14 13:42:34,computer,1996,,Cliente nueva Terminal de Transportes,,02:21
2024-07-03 17:07:20,teléfono,1977,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",Muy buenos,01:30
2024-07-03 17:18:27,teléfono,09/12/1980,"Si, lo sé muy bien",Cliente de La Galeria,Pésimos,00:37
2024-07-03 17:19:32,teléfono,12/09/1990,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de La Galeria",Pésimos,00:19
2024-07-03 17:20:03,teléfono,09/09/1987,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de La Galeria",Pésimos,00:13
2024-07-03 17:20:55,teléfono,20/01/1980,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria",Pésimos,00:14
2024-07-03 17:21:27,teléfono,02/10/1990,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria",Pésimos,00:16
2024-07-03 17:21:58,teléfono,02/01/1880,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Pésimos,00:16
2024-07-03 17:22:25,teléfono,20/03/1991,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria",Pésimos,00:12
2024-07-04 07:00:58,teléfono,1967,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",Buenos,01:22
2024-07-04 10:37:49,teléfono,25/04/1990,"Si, lo sé muy bien",Ninguno,Regulares,00:54
2024-07-04 11:04:07,teléfono,1982,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",No he utilizado los servicios,01:10
2024-07-04 11:18:30,teléfono,1972,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Muy buenos,00:42
2024-07-04 13:45:26,teléfono,1983,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,00:36
2024-07-04 13:51:45,teléfono,1977,"Más o menos, pero no lo sé todo.","Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday",Regulares,00:56
2024-07-04 16:13:47,teléfono,1990,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Malos,00:53
2024-07-04 16:49:30,teléfono,1961,,"Cliente nueva Terminal de Transportes, Cliente Nuevo Centro Comercial Pabellón",No he utilizado los servicios,01:51
2024-07-04 20:37:12,teléfono,1966,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday",Regulares,02:16
2024-07-05 11:51:01,teléfono,1991,"Si, lo sé muy bien",Cliente del Bicentenario,Muy buenos,00:21
2024-07-05 12:21:14,teléfono,1996,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:47
2024-07-05 13:16:57,teléfono,1962,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,01:27
2024-07-05 13:25:00,teléfono,1995,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Muy buenos,00:40
2024-07-05 21:39:29,teléfono,1995,"Si, lo sé muy bien",Ninguno,Muy buenos,00:23
2024-07-06 10:12:11,teléfono,47,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:48
2024-07-08 17:47:16,teléfono,1995,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza",Muy buenos,00:37
2024-07-08 17:46:41,teléfono,1999,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza",Buenos,01:19
2024-07-08 20:18:40,teléfono,1993,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Buenos,00:45
2024-07-08 21:09:23,teléfono,2000,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:57
2024-07-10 04:33:40,teléfono,1985,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Buenos,01:19
2024-07-12 15:00:04,teléfono,23/04/2000,"Si, lo sé muy bien",Ninguno,Muy buenos,00:44
2024-07-12 18:48:52,teléfono,1988,"No, no conozco esta institución","Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday",Pésimos,00:34
2024-07-12 18:50:57,teléfono,1985,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:21
2024-07-12 18:50:39,teléfono,13/09/1983,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:56
2024-07-12 19:09:46,teléfono,1983,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Urbanización Terranova",Pésimos,00:40
2024-07-12 19:21:08,teléfono,1979,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:42
2024-07-12 19:44:08,teléfono,1990,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:43
2024-07-12 19:51:16,teléfono,9 de agosto 1973,,Cliente de Urbanización Terranova,Pésimos,01:02
2024-07-12 19:52:45,teléfono,1977,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:56
2024-07-12 19:53:52,teléfono,1984,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:25
2024-07-12 20:38:05,teléfono,6 de marzo de 1984,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,01:52
2024-07-12 20:56:27,teléfono,1961,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,00:44
2024-07-12 22:15:06,teléfono,1962,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",No he utilizado los servicios,01:25
2024-07-13 05:36:12,teléfono,Lo peor infitulua llevamos 7 años esperando que nos entreguen  los lotes de terrenoba y nada asta cuando hay que esperar,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,02:53
2024-07-15 23:03:35,teléfono,2006,"Sé que existe, pero no sé qué hace",Cliente nueva Terminal de Transportes,Muy buenos,01:43
2024-07-15 23:22:00,teléfono,20/06/1997,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,00:56
2024-07-15 23:54:59,teléfono,1984,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Urbanización Terranova",Buenos,00:49
2024-07-16 00:22:58,teléfono,1990,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente Nuevo Centro Comercial Pabellón",Pésimos,00:27
2024-07-16 11:03:53,teléfono,1999,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Pésimos,00:50
2024-07-16 16:39:34,teléfono,01031994,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:41
2024-07-16 16:45:36,teléfono,1994,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,00:32
2024-07-17 11:24:09,teléfono,94,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",Buenos,00:40
2024-07-18 10:57:56,teléfono,1996,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,00:37
2024-07-18 11:57:01,teléfono,1967,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,01:04
2024-07-18 18:06:26,teléfono,1991,"Más o menos, pero no lo sé todo.",Cliente del Bicentenario,Buenos,00:52
2024-07-18 19:12:17,teléfono,081078,"Sé que existe, pero no sé qué hace",Cliente de Urbanización Terranova,Muy buenos,02:36
2024-07-18 19:55:02,teléfono,22-02-1969,"Más o menos, pero no lo sé todo.","Cliente del Bicentenario, Cliente de La Galeria",Buenos,01:00
2024-07-18 21:44:48,teléfono,1060,"Si, lo sé muy bien",Cliente del Bicentenario,Buenos,00:54
2024-07-19 18:34:27,teléfono,1988,"Sé que existe, pero no sé qué hace",Cliente nueva Terminal de Transportes,No he utilizado los servicios,00:37
2024-07-20 08:25:12,teléfono,1992,"No, no conozco esta institución","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,01:12
2024-07-30 22:54:09,teléfono,2005,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,00:50
2024-07-31 15:07:23,teléfono,47,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,00:53
2024-07-31 15:29:17,teléfono,1993,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,00:46
2024-07-31 22:59:04,teléfono,1993,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",No he utilizado los servicios,00:34
2024-08-01 08:01:29,teléfono,1993,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,01:06
2024-08-03 15:51:48,teléfono,1970,"Sé que existe, pero no sé qué hace",Cliente del Bicentenario,No he utilizado los servicios,00:50
2024-08-03 17:54:57,teléfono,1984,"Más o menos, pero no lo sé todo.",Cliente de Urbanización Terranova,Regulares,00:28
2024-08-03 19:06:51,teléfono,31 nov 1992,"No, no conozco esta institución",Ninguno,No he utilizado los servicios,00:47
2024-08-05 23:39:54,teléfono,24/11/1992,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Buenos,01:05
2024-08-13 12:20:05,teléfono,1993,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:41
2024-08-13 12:21:21,teléfono,1979,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:19
2024-08-16 21:51:04,teléfono,1963,"Si, lo sé muy bien",Cliente del Bicentenario,Muy buenos,00:32
2024-08-22 17:44:06,teléfono,2002,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,00:44
2024-08-22 18:51:18,teléfono,1992,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:33
2024-08-26 18:46:24,teléfono,1997,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente de La Galeria",Malos,00:32
2024-08-28 12:55:58,teléfono,1993,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Muy buenos,00:31
2024-09-02 16:37:45,computer,2003,"Si, lo sé muy bien",Cliente Nuevo Centro Comercial Pabellón,Muy buenos,00:34
2024-10-04 08:08:34,teléfono,1988,"Más o menos, pero no lo sé todo.",Cliente de Urbanización Terranova,Pésimos,00:34
2024-10-04 08:09:35,teléfono,1988,"No, no conozco esta institución",Cliente de Urbanización Terranova,Pésimos,00:14
