"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar todo","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio"
122158959626249234,61557477032777,Infitulua,"¡Desde INFITULUÁ trabajamos día a día para estar más cerca de ti!

Por eso, te invitamos a que conozcas nuestros diferentes métodos de atención para brindarte toda la asesoría que necesitas 🥳

Continuamos construyendo una Tuluá #ParaSerFelices",,0,"09/10/2024 11:25",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02cmTHkQtaia4A1FtA4QPWrnYxpgH1oK2AgNLyUdBG1rYV1sTLVJhmF7QjD4Y4YvxWl&id=61557477032777,0,0,Fotos,,,,,Total,354,273,8,4,0,4,1,3,2,1,,,,,
122156810552249234,61557477032777,Infitulua,"🚀¡Tu negocio debe ir en el corazón de Tuluá! ❤️
Contamos con locales comerciales diseñados estratégicamente en la Central de Transporte para la prosperidad del comercio 💡
¿Qué esperas para ver los frutos y prosperidad de tu emprendimiento? 📲 Contacta con nosotros y empieza una oportunidad ÚNICA de negocio 💪","🚀¡Tu negocio debe ir en el corazón de Tuluá! ❤️
Contamos con locales comerciales diseñados estratégicamente en la Central de Transporte para la prosperidad del comercio 💡
¿Qué esperas para ver los frutos y prosperidad de tu emprendimiento? 📲 Contacta con nosotros y empieza una oportunidad ÚNICA de negocio 💪",60,"09/02/2024 14:49",uploaded,https://www.facebook.com/reel/526812203059981/,1,0,Reels,,,,,Total,376,278,26,15,0,11,,0,,,946,5662.929,6.561,0,0
122161509596249234,61557477032777,Infitulua,"¡Tu éxito comercial, empieza AQUÍ! ✅

Conoce todas las ofertas comerciales que Bicentenario Plaza tiene para ofrecerte, con más de 50 locales comerciales listos para impulsar tu emprendimiento a un siguente nivel.

¿Qué esperas para acercarte y solicitar información? ¡Te esperamos!","¡Tu éxito comercial, empieza AQUÍ! ✅

Conoce todas las ofertas comerciales que Bicentenario Plaza tiene para ofrecerte, con más de 50 locales comerciales listos para impulsar tu emprendimiento a un siguente nivel.

¿Qué esperas para acercarte y solicitar información? ¡Te esperamos!",48,"09/20/2024 10:00",uploaded,https://www.facebook.com/reel/1189039042388588/,1,0,Reels,,,,,Total,237,176,12,7,0,5,,0,,,336,2031.438,6.748,0,0
122160979478249234,61557477032777,Infitulua,"❤️ ¿No sabes qué dar en estas fechas? ¡Regala desde el comercio tulueño! 🎁 Conoce la variedad de productos que tenemos para ofrecerte en La Galería, el Centro Comercial Pabellón y Bicentenario Plaza. ¿Qué estás esperando para conseguir productos de buena calidad a un excelente precio? ¡Te esperamos!","❤️ ¿No sabes qué dar en estas fechas? ¡Regala desde el comercio tulueño! 🎁 Conoce la variedad de productos que tenemos para ofrecerte en La Galería, el Centro Comercial Pabellón y Bicentenario Plaza. ¿Qué estás esperando para conseguir productos de buena calidad a un excelente precio? ¡Te esperamos!",32,"09/18/2024 10:00",uploaded,https://www.facebook.com/reel/427078936589318/,1,0,Reels,,,,,Total,302,237,23,14,0,9,,0,,,881,4165.036,5.091,0,0
122160776882249234,61557477032777,Infitulua,"¡Conoce estas excelentes oportunidades con la Ciudadela Regional del Comercio!

Contamos con una gran ubicación y disponibilidad para todas las personas.

¡Contáctanos! Para brindarte la información que necesitas.","¡Conoce estas excelentes oportunidades con la Ciudadela Regional del Comercio!

Contamos con una gran ubicación y disponibilidad para todas las personas.

¡Contáctanos! Para brindarte la información que necesitas.",45,"09/17/2024 11:00",uploaded,https://www.facebook.com/reel/551884237297876/,1,0,Reels,,,,,Total,313,253,32,18,0,14,,0,,,861,5236.526,6.603,0,0
